cluster,weekday,time,Delay Sensitive,Delay Stringent,Delay Tolerant
0,Mon,0:00,66296.50667,687.714424,142211.204
0,Mon,0:20,57557.43538,433.3125098,134062.4459
0,Mon,0:40,50411.23885,279.2146665,130575.9723
0,Mon,1:00,45915.6936,225.798983,128134.3521
0,Mon,1:20,42288.23141,202.8315138,123244.2046
0,Mon,1:40,38292.4702,150.5147559,115684.7659
0,Mon,2:00,35240.03051,120.7117296,110723.3003
0,Mon,2:20,33884.62698,115.3375853,109605.5978
0,Mon,2:40,34730.58023,133.332088,108337.2668
0,Mon,3:00,36296.58371,163.8985883,109239.1031
0,Mon,3:20,37423.17299,174.5903877,115475.3304
0,Mon,3:40,41814.93829,202.5031485,124335.7902
0,Mon,4:00,49412.62885,278.9068846,131730.6181
0,Mon,4:20,55317.82134,364.5425448,138583.6633
0,Mon,4:40,63263.93229,488.8769214,152906.3314
0,Mon,5:00,72863.00365,651.9229644,174758.2441
0,Mon,5:20,79029.42287,757.6440833,197267.6544
0,Mon,5:40,84433.19501,937.3940345,217796.9656
0,Mon,6:00,92584.52539,1447.9829,243928.2056
0,Mon,6:20,102038.7997,2761.837058,272227.5008
0,Mon,6:40,110806.0095,5284.135602,293634.3456
0,Mon,7:00,112524.1105,8219.197563,300945.1772
0,Mon,7:20,107152.5918,11003.21342,296650.7806
0,Mon,7:40,104837.7722,13760.5053,302217.8634
0,Mon,8:00,107500.7051,15442.44771,316749.2018
0,Mon,8:20,109942.6738,14417.54904,326047.3504
0,Mon,8:40,109521.5583,13143.69524,330831.9679
0,Mon,9:00,107732.1781,13031.07024,327864.4806
0,Mon,9:20,106957.7612,11985.32202,318658.2832
0,Mon,9:40,112230.2558,9927.105249,325022.051
0,Mon,10:00,120748.7104,8676.982025,340400.4967
0,Mon,10:20,127711.3015,7614.849553,345936.8753
0,Mon,10:40,134080.9923,6521.248219,352454.7973
0,Mon,11:00,135576.9881,6074.476008,358437.7154
0,Mon,11:20,132983.2357,7063.126153,356148.0213
0,Mon,11:40,130460.0685,9628.194644,362267.7019
0,Mon,12:00,130936.4319,11359.41524,370510.5786
0,Mon,12:20,132938.9541,11123.13381,362972.3397
0,Mon,12:40,132769.2799,10917.36735,354493.1651
0,Mon,13:00,132534.4753,10773.10617,339467.2495
0,Mon,13:20,132178.5307,10188.63361,319323.2329
0,Mon,13:40,135441.7042,10583.78491,334941.8199
0,Mon,14:00,141368.4407,10928.63238,370771.039
0,Mon,14:20,143106.0318,10110.95692,387615.1408
0,Mon,14:40,144200.2076,9068.85906,388560.8171
0,Mon,15:00,143845.2747,8194.304697,379459.3115
0,Mon,15:20,141859.4916,7246.561576,368832.085
0,Mon,15:40,144141.1419,6374.934849,369760.9914
0,Mon,16:00,147351.7626,5430.79133,374946.082
0,Mon,16:20,148464.5489,4454.505862,371180.3972
0,Mon,16:40,147526.2138,4302.026422,362602.0864
0,Mon,17:00,143214.0661,4366.43792,343402.6229
0,Mon,17:20,139899.3901,4311.615535,325835.5778
0,Mon,17:40,143651.3619,4781.559118,329824.1942
0,Mon,18:00,147526.6711,5148.29013,334247.3728
0,Mon,18:20,142425.6767,5167.312756,319790.8124
0,Mon,18:40,141611.0207,5146.746763,313705.8225
0,Mon,19:00,150560.387,5171.169518,316598.6411
0,Mon,19:20,157008.7444,5076.805022,310915.7714
0,Mon,19:40,156656.6342,4723.217527,308737.5389
0,Mon,20:00,153938.2519,4330.467652,304544.5482
0,Mon,20:20,151251.1791,3824.286654,290901.5128
0,Mon,20:40,144268.9252,3601.03809,280957.4495
0,Mon,21:00,131986.3559,3841.590027,275103.4996
0,Mon,21:20,121372.069,3893.820805,263110.778
0,Mon,21:40,114712.2192,3246.088123,243434.3488
0,Mon,22:00,107958.0095,2321.029764,217620.0334
0,Mon,22:20,100302.9529,1710.697421,196385.4971
0,Mon,22:40,93728.22916,1478.894984,187579.7892
0,Mon,23:00,84096.50591,1262.18073,181099.8046
0,Mon,23:20,70070.0474,1049.947217,166638.9824
0,Mon,23:40,60805.60893,882.3419041,152649.6269
0,Tue,0:00,55622.13227,601.8047338,143967.5371
0,Tue,0:20,48795.20725,294.5640903,137581.4687
0,Tue,0:40,43854.22387,167.3158784,131505.0696
0,Tue,1:00,42533.94129,127.9332854,127865.3464
0,Tue,1:20,42479.68315,117.8152595,125895.3341
0,Tue,1:40,40647.66992,114.4708542,121763.7391
0,Tue,2:00,38090.65432,110.7450763,115484.9041
0,Tue,2:20,38437.29912,113.8910548,110666.5376
0,Tue,2:40,40036.49338,115.2128184,109257.1009
0,Tue,3:00,40984.73811,117.393116,111221.9674
0,Tue,3:20,42451.13834,128.8313432,116157.7438
0,Tue,3:40,45450.38312,152.5266408,123277.1412
0,Tue,4:00,50741.90749,202.4114278,131741.9014
0,Tue,4:20,55877.64328,281.0659806,142427.8835
0,Tue,4:40,62816.61215,414.3585239,157355.6285
0,Tue,5:00,69711.3615,621.8257215,175678.0784
0,Tue,5:20,75179.92264,807.1231584,194193.3873
0,Tue,5:40,84106.91242,898.7732317,216135.7454
0,Tue,6:00,95524.14143,1258.287171,242940.363
0,Tue,6:20,109217.3923,2393.167452,270741.8737
0,Tue,6:40,118689.4722,4259.612453,290822.4258
0,Tue,7:00,116458.9055,6302.011822,295538.5322
0,Tue,7:20,112600.0856,9007.727553,293236.6432
0,Tue,7:40,115732.7106,12414.56016,302110.0269
0,Tue,8:00,118195.7035,14096.43014,314967.9213
0,Tue,8:20,114318.1079,13300.52428,313402.847
0,Tue,8:40,112697.7256,12323.43752,317448.6922
0,Tue,9:00,114123.3668,11645.09198,322745.2098
0,Tue,9:20,112947.7103,10192.9245,308666.4579
0,Tue,9:40,117393.5842,9204.863332,309597.6447
0,Tue,10:00,124542.6751,8996.802579,325972.117
0,Tue,10:20,126738.4701,7680.493057,327293.1501
0,Tue,10:40,131837.9034,6126.084311,333290.8381
0,Tue,11:00,136527.9447,5458.40285,345447.4181
0,Tue,11:20,134367.2263,6332.990058,348895.4481
0,Tue,11:40,130433.7248,8702.99833,346833.3775
0,Tue,12:00,132890.2524,10555.28225,329927.2257
0,Tue,12:20,133137.5973,10565.54718,307349.1271
0,Tue,12:40,133528.3918,10527.96687,322601.5796
0,Tue,13:00,140042.6814,10719.47898,349718.92
0,Tue,13:20,142510.4116,10678.57282,352896.1397
0,Tue,13:40,142529.2887,11078.02366,357744.3996
0,Tue,14:00,138326.1166,10920.74954,353698.4124
0,Tue,14:20,132932.852,9352.425257,336461.0935
0,Tue,14:40,135151.318,7892.08929,345122.6008
0,Tue,15:00,137614.2035,7039.073335,367329.077
0,Tue,15:20,137297.8873,6119.85532,368380.3084
0,Tue,15:40,139065.3431,5503.5226,365428.9009
0,Tue,16:00,140710.1439,5440.831289,363748.2379
0,Tue,16:20,140757.0879,5186.038212,355713.6367
0,Tue,16:40,141671.3894,4838.30135,349315.8604
0,Tue,17:00,142103.717,4802.909318,339328.4789
0,Tue,17:20,142431.171,4822.146318,323482.9838
0,Tue,17:40,143039.2799,5086.586566,324339.5046
0,Tue,18:00,146560.7661,5407.245309,328808.8352
0,Tue,18:20,152086.1164,5705.842901,320455.7973
0,Tue,18:40,154947.3051,6255.703448,317032.4681
0,Tue,19:00,156683.9569,6182.030694,316357.1749
0,Tue,19:20,151207.8444,5454.044742,309377.6853
0,Tue,19:40,147204.0393,5270.195145,305005.0504
0,Tue,20:00,149096.6591,5569.16774,303670.3596
0,Tue,20:20,145472.3966,5778.087428,295787.6872
0,Tue,20:40,140882.1888,5989.565099,283498.3512
0,Tue,21:00,133881.052,5857.127241,265290.5285
0,Tue,21:20,122784.7129,4859.140891,241079.9555
0,Tue,21:40,114260.1873,4083.073038,227643.6217
0,Tue,22:00,103682.6873,3777.559325,216984.1873
0,Tue,22:20,92213.52627,3177.11326,197668.5679
0,Tue,22:40,86731.68252,2538.074697,184764.6311
0,Tue,23:00,79943.96466,2089.709245,172802.3021
0,Tue,23:20,70180.65771,1699.764911,155764.0317
0,Tue,23:40,63522.84941,1362.100002,145502.6193
0,Wed,0:00,56137.95353,884.8047602,141127.8176
0,Wed,0:20,50344.96439,507.748904,136227.1184
0,Wed,0:40,46449.71329,342.0622166,130821.6734
0,Wed,1:00,44041.20206,341.6455612,124500.2342
0,Wed,1:20,43268.14685,316.7778352,119945.1699
0,Wed,1:40,41120.76959,227.6050587,115474.3887
0,Wed,2:00,37499.04503,159.4868847,109417.7194
0,Wed,2:20,36806.20132,124.7684907,107860.5639
0,Wed,2:40,37462.3542,112.777769,107328.3762
0,Wed,3:00,38457.81265,130.6802217,107060.1427
0,Wed,3:20,42003.38395,146.1523703,114717.3079
0,Wed,3:40,44886.81986,153.5802425,124999.0567
0,Wed,4:00,46575.17087,199.7021094,130521.1935
0,Wed,4:20,51491.99028,260.7848624,137479.1769
0,Wed,4:40,58321.22571,378.6228767,149768.8268
0,Wed,5:00,68761.25639,637.4896318,164982.0367
0,Wed,5:20,81530.18341,978.6413192,184593.432
0,Wed,5:40,87571.43894,1451.111648,206664.2835
0,Wed,6:00,94126.0963,1793.286232,228474.7647
0,Wed,6:20,104554.7992,2529.823979,252886.9313
0,Wed,6:40,111628.1248,4371.127143,274086.9507
0,Wed,7:00,110852.5356,6665.663832,282754.0452
0,Wed,7:20,107966.5984,8728.052066,286986.4665
0,Wed,7:40,107539.5037,10874.15889,293738.2139
0,Wed,8:00,105553.6215,12200.85016,292638.484
0,Wed,8:20,104827.9663,11640.6889,289393.1894
0,Wed,8:40,107655.7871,11816.23016,296304.441
0,Wed,9:00,110659.8518,12290.65351,298154.5087
0,Wed,9:20,109856.848,11148.3347,292878.2608
0,Wed,9:40,111233.7355,9824.441501,304634.192
0,Wed,10:00,116883.5498,8715.344959,315249.4303
0,Wed,10:20,120343.4737,7196.784642,315942.9874
0,Wed,10:40,127868.744,5991.568938,327944.8263
0,Wed,11:00,135250.1496,5656.422639,329715.171
0,Wed,11:20,133204.7654,6019.402944,317114.227
0,Wed,11:40,127972.8815,7805.986263,315928.1963
0,Wed,12:00,123935.2552,9431.811126,310179.391
0,Wed,12:20,122900.796,9414.419814,292837.388
0,Wed,12:40,130281.8607,9486.523844,313350.8128
0,Wed,13:00,140494.1358,9767.346423,348566.8004
0,Wed,13:20,142147.7652,9268.850006,352293.907
0,Wed,13:40,142723.2012,8879.006621,353843.3626
0,Wed,14:00,148252.6835,8668.586575,358653.4819
0,Wed,14:20,147501.9441,8208.519503,356233.7123
0,Wed,14:40,145606.289,7462.461289,355860.341
0,Wed,15:00,147741.9999,6492.221418,361428.4021
0,Wed,15:20,148529.4422,6017.70419,364933.7323
0,Wed,15:40,150338.5115,5810.451979,361717.5721
0,Wed,16:00,152341.794,5565.469303,354086.0972
0,Wed,16:20,152083.9833,5166.576513,345180.1379
0,Wed,16:40,153347.6816,4784.375527,342880.7038
0,Wed,17:00,155215.4751,4970.075981,340500.0586
0,Wed,17:20,149835.8286,5197.144906,325467.273
0,Wed,17:40,143754.026,5435.261696,318707.8509
0,Wed,18:00,147158.6909,5835.051244,321975.4014
0,Wed,18:20,151745.2545,5703.931094,316414.331
0,Wed,18:40,154716.5342,5418.574466,314504.8139
0,Wed,19:00,159753.6582,5477.709352,315566.9908
0,Wed,19:20,160112.5983,5452.854232,310595.9347
0,Wed,19:40,158416.7977,5187.724459,304956.6758
0,Wed,20:00,155746.2361,4562.022503,290554.7396
0,Wed,20:20,146635.7369,3933.310272,269733.8963
0,Wed,20:40,140784.684,4019.433113,262844.6768
0,Wed,21:00,137030.6141,4110.463977,258653.4095
0,Wed,21:20,125225.6576,3458.172547,237872.6976
0,Wed,21:40,115425.89,2900.891848,225422.4767
0,Wed,22:00,106723.1989,2503.586678,216442.3379
0,Wed,22:20,93900.48224,1947.976126,188859.2486
0,Wed,22:40,88306.45121,1855.018354,176937.5599
0,Wed,23:00,84144.92201,1674.956596,173072.6034
0,Wed,23:20,74088.15998,1068.989171,154864.7027
0,Wed,23:40,65353.65973,736.9012042,142514.3869
0,Thu,0:00,58369.61262,517.1529172,137703.6782
0,Thu,0:20,51639.64679,389.6936303,128145.0264
0,Thu,0:40,47610.72652,338.060849,125346.7066
0,Thu,1:00,45037.46697,338.6041244,127358.579
0,Thu,1:20,43811.64504,277.6809149,122604.9123
0,Thu,1:40,43657.34207,220.0784083,116551.7237
0,Thu,2:00,41200.55821,256.6126653,114780.6067
0,Thu,2:20,37537.45027,255.4782195,115381.2506
0,Thu,2:40,37836.0982,240.784167,117170.2888
0,Thu,3:00,40017.19204,255.336934,119928.7492
0,Thu,3:20,42257.40258,229.5782442,123394.0327
0,Thu,3:40,47786.71603,319.9355443,126410.8348
0,Thu,4:00,53189.32984,484.0978524,129725.4846
0,Thu,4:20,56831.66348,476.7697145,135324.4549
0,Thu,4:40,64255.69838,501.1098884,148701.2859
0,Thu,5:00,74312.93142,663.7212373,167359.2122
0,Thu,5:20,82964.53154,848.4253097,186349.4366
0,Thu,5:40,89225.76558,1161.410531,206313.4579
0,Thu,6:00,98229.85219,1794.010591,229445.7935
0,Thu,6:20,115704.7843,2826.845224,258059.9095
0,Thu,6:40,127554.122,4696.401564,281619.9938
0,Thu,7:00,121081.9273,7189.178497,284181.8383
0,Thu,7:20,110448.1278,9283.324721,278822.9508
0,Thu,7:40,111636.4145,11534.57946,291569.6819
0,Thu,8:00,119381.0947,12438.41204,308047.5368
0,Thu,8:20,120025.888,11717.37335,314518.205
0,Thu,8:40,116441.9171,11694.04912,315080.6168
0,Thu,9:00,116684.1188,11394.99563,312767.3986
0,Thu,9:20,118040.0372,10305.94173,309974.368
0,Thu,9:40,120496.8027,9015.787679,314658.4095
0,Thu,10:00,124718.264,7740.855148,321262.4162
0,Thu,10:20,130706.1449,6702.099522,322245.6505
0,Thu,10:40,137601.255,5694.052663,330643.6338
0,Thu,11:00,139669.5523,4963.456472,335510.0249
0,Thu,11:20,136299.7651,5228.977446,330264.167
0,Thu,11:40,134818.604,7178.433076,329669.3583
0,Thu,12:00,134472.5843,8984.346602,326735.9152
0,Thu,12:20,131419.9722,8802.66937,315505.9897
0,Thu,12:40,135982.4228,8871.947472,326450.6021
0,Thu,13:00,145054.1278,9844.081168,349800.8894
0,Thu,13:20,147102.4873,9605.272948,352629.7559
0,Thu,13:40,147343.3889,9147.584781,347190.4601
0,Thu,14:00,150685.0946,8865.467215,345248.7406
0,Thu,14:20,150559.5163,7730.820404,345234.5781
0,Thu,14:40,149600.4926,6860.060232,356294.0618
0,Thu,15:00,151598.9403,6588.842857,372527.3762
0,Thu,15:20,152117.5316,5984.673287,373178.7614
0,Thu,15:40,150832.9754,5289.554711,362504.9618
0,Thu,16:00,151274.2427,5085.441666,352936.7451
0,Thu,16:20,153067.9269,5288.402762,344904.3323
0,Thu,16:40,153460.7347,5419.323431,341314.0364
0,Thu,17:00,152280.8639,5148.409532,342700.4583
0,Thu,17:20,152604.6753,4910.581221,340804.6408
0,Thu,17:40,155756.1544,5071.069592,337114.9071
0,Thu,18:00,153923.9094,5069.20206,320854.168
0,Thu,18:20,151497.1676,4670.109912,302190.276
0,Thu,18:40,157434.207,4856.350822,305233.9181
0,Thu,19:00,162215.7398,5309.396771,311549.7919
0,Thu,19:20,161165.5819,5169.875528,307083.5978
0,Thu,19:40,161225.7619,4674.662021,303312.2314
0,Thu,20:00,163542.1175,4327.847354,301410.531
0,Thu,20:20,161124.6219,4191.665561,294179.4476
0,Thu,20:40,152560.0521,4141.381869,287232.8477
0,Thu,21:00,143978.2925,3921.00116,277303.0448
0,Thu,21:20,135448.2194,3428.205704,257724.0171
0,Thu,21:40,127669.121,3053.171508,240545.389
0,Thu,22:00,120670.1918,2874.306853,226788.1424
0,Thu,22:20,109143.4605,2519.329703,209802.6943
0,Thu,22:40,98080.83172,1822.280653,189985.445
0,Thu,23:00,89668.50542,1074.137322,159280.1692
0,Thu,23:20,76855.96724,444.9170448,124190.8012
0,Thu,23:40,67949.98878,281.1313186,116846.9386
0,Fri,0:00,66811.65649,375.7764016,139308.8782
0,Fri,0:20,61915.3461,332.4315211,144117.2035
0,Fri,0:40,52806.10933,265.8243058,136730.3894
0,Fri,1:00,47511.05523,204.3830321,130017.8931
0,Fri,1:20,46256.87234,161.6203128,126632.3324
0,Fri,1:40,43517.62871,143.1339623,122897.2573
0,Fri,2:00,40094.26519,127.2390919,118558.677
0,Fri,2:20,37250.86998,118.0757683,116485.2543
0,Fri,2:40,36045.97279,123.3366244,115510.5891
0,Fri,3:00,37323.77504,131.824375,115216.5794
0,Fri,3:20,39347.93216,121.4870987,117983.5706
0,Fri,3:40,39379.25202,143.9880414,122939.5911
0,Fri,4:00,40723.19736,206.7718587,129361.1793
0,Fri,4:20,46929.73709,249.4391558,139676.9588
0,Fri,4:40,59908.74636,299.5598783,152023.1668
0,Fri,5:00,74460.07946,409.2105847,164097.6921
0,Fri,5:20,82402.60586,756.416725,180900.8294
0,Fri,5:40,87601.51096,1355.209444,203019.3312
0,Fri,6:00,95175.79468,1870.209032,228398.2391
0,Fri,6:20,107888.9661,3121.238592,254382.0854
0,Fri,6:40,117490.6928,5543.149779,271252.0255
0,Fri,7:00,117654.8168,7479.086053,273533.3725
0,Fri,7:20,113549.4217,9275.949832,267035.5935
0,Fri,7:40,112465.831,11776.35881,276850.122
0,Fri,8:00,112057.2556,12783.73585,289631.8043
0,Fri,8:20,109165.2165,11995.05322,278712.0296
0,Fri,8:40,110659.9361,11120.22427,283948.0148
0,Fri,9:00,112263.0997,11079.31484,294430.8014
0,Fri,9:20,112155.6519,9997.985798,286186.915
0,Fri,9:40,116915.9381,8898.997134,296472.1095
0,Fri,10:00,125358.9959,8207.70279,312201.8048
0,Fri,10:20,133797.3017,6523.562848,310275.4042
0,Fri,10:40,141443.1747,5000.108616,316386.5849
0,Fri,11:00,146596.1079,4788.32986,331776.2099
0,Fri,11:20,148515.1232,5691.241359,336310.0658
0,Fri,11:40,147722.8286,7055.872707,333566.4194
0,Fri,12:00,146058.0763,7635.566619,326548.0261
0,Fri,12:20,147771.5976,7522.828002,312236.2128
0,Fri,12:40,155185.4779,8605.0451,322768.9923
0,Fri,13:00,161898.6597,10102.79143,346969.33
0,Fri,13:20,163286.0407,9349.077777,354480.0798
0,Fri,13:40,164148.6873,7969.889222,356711.3784
0,Fri,14:00,162848.9758,7068.85936,354881.3146
0,Fri,14:20,158648.7773,6280.940436,354711.2616
0,Fri,14:40,159061.0049,5630.046946,359957.3474
0,Fri,15:00,158385.7725,5049.058966,350876.2639
0,Fri,15:20,148549.3678,4700.650446,323828.486
0,Fri,15:40,144988.2514,4591.552713,324650.6921
0,Fri,16:00,149764.8293,4521.414784,337901.3371
0,Fri,16:20,147401.4524,4197.695948,318949.0818
0,Fri,16:40,148128.66,3969.777845,313930.2161
0,Fri,17:00,154592.9983,4179.079088,325116.3834
0,Fri,17:20,154980.844,4050.571164,315928.5954
0,Fri,17:40,155447.5366,3692.894868,310809.3195
0,Fri,18:00,158265.6958,4013.238912,311301.7064
0,Fri,18:20,155188.4817,4494.666642,297437.907
0,Fri,18:40,154085.9061,4508.492149,289761.1119
0,Fri,19:00,155295.8173,4335.84641,289446.7247
0,Fri,19:20,152507.1453,3949.21316,281018.8305
0,Fri,19:40,155533.8532,3764.211602,278422.5033
0,Fri,20:00,159898.4152,4171.438717,277986.3425
0,Fri,20:20,161011.5789,4547.879087,270709.2696
0,Fri,20:40,160546.7186,4683.813675,267736.5822
0,Fri,21:00,153190.1383,4348.014573,262094.6631
0,Fri,21:20,144099.8119,3802.231042,245471.1275
0,Fri,21:40,139491.7796,3974.535569,237705.979
0,Fri,22:00,133945.3778,3857.426404,236608.9362
0,Fri,22:20,127075.1357,2981.20297,226622.0058
0,Fri,22:40,126207.2175,2652.907791,212848.0241
0,Fri,23:00,123113.346,2892.882724,196739.1391
0,Fri,23:20,107847.275,2860.578666,179576.1497
0,Fri,23:40,93577.31952,2630.607356,170161.091
0,Sat,0:00,85674.91852,2380.271635,164049.4657
0,Sat,0:20,76882.36742,1906.653914,153335.562
0,Sat,0:40,69289.0298,1156.789528,143441.5662
0,Sat,1:00,61779.73245,775.3825671,137438.1546
0,Sat,1:20,58171.26824,551.3445925,133050.9769
0,Sat,1:40,55076.03549,331.2418649,129334.1632
0,Sat,2:00,48202.863,242.70479,119132.4127
0,Sat,2:20,42470.69683,220.6270781,104406.4564
0,Sat,2:40,41830.00746,193.7598993,102133.8102
0,Sat,3:00,41860.66775,151.0209053,107756.7247
0,Sat,3:20,39866.33745,126.645333,109992.5559
0,Sat,3:40,39024.83054,135.7569283,112831.4003
0,Sat,4:00,39287.1685,152.159897,115126.3039
0,Sat,4:20,39945.8026,145.0804285,116748.245
0,Sat,4:40,42230.75322,137.6136514,120763.4742
0,Sat,5:00,46006.7835,182.7303674,124509.3728
0,Sat,5:20,49518.86732,274.1233505,132044.4907
0,Sat,5:40,51761.35142,364.5487002,144871.1363
0,Sat,6:00,55780.22598,533.8948872,155774.5871
0,Sat,6:20,64015.95496,870.617759,167364.5446
0,Sat,6:40,71024.81307,1284.905844,187883.3999
0,Sat,7:00,75217.43831,1702.583047,211494.6478
0,Sat,7:20,83272.09357,2206.562042,229865.2088
0,Sat,7:40,94466.303,2683.291162,248663.659
0,Sat,8:00,105649.1196,2991.122086,264732.2959
0,Sat,8:20,112764.9393,3057.017279,276479.8562
0,Sat,8:40,116093.8211,3206.199704,290844.0057
0,Sat,9:00,118963.9185,3264.653332,297153.8012
0,Sat,9:20,117730.3384,3054.882749,292565.3703
0,Sat,9:40,116849.6222,2986.024127,296439.4478
0,Sat,10:00,122131.8055,3074.125575,295416.6025
0,Sat,10:20,125825.305,3053.847253,278404.5555
0,Sat,10:40,128767.1773,3014.051769,287728.402
0,Sat,11:00,132232.7867,3031.5928,314315.3264
0,Sat,11:20,130600.9011,2825.702448,322256.9492
0,Sat,11:40,130574.9606,2916.002551,327269.7249
0,Sat,12:00,135200.8789,3596.933935,332732.6615
0,Sat,12:20,138093.7572,4023.855857,333841.3666
0,Sat,12:40,138746.1533,3883.660745,335036.546
0,Sat,13:00,140614.7689,3599.612099,327998.1937
0,Sat,13:20,143699.5087,3472.956307,309988.4797
0,Sat,13:40,149715.9625,3768.319982,312784.8548
